# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Sep 11 07:04:14 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0000,9.488035570,170.5387500,0,0.1460,2.95750,6.1580e+02,0.022344,3.20796,LS+MCMC,2.26,0.0853,89.66,793.0,93.59,35.80,2,142,1,q1_q17_dr25_tce,5455.00,4.467,0.9270,291.934230,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.9690,54.418382700,162.5138400,0,0.5860,4.50700,8.7480e+02,0.027954,3.02368,LS+MCMC,2.83,0.2734,89.57,443.0,9.11,25.80,2,25,2,q1_q17_dr25_tce,5455.00,4.467,0.9270,291.934230,48.141651,15.347
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0000,19.899139950,175.8502520,0,0.9690,1.78220,1.0829e+04,0.154046,7.29555,LS+MCMC,14.60,0.1419,88.96,638.0,39.30,76.30,1,56,1,q1_q17_dr25_tce,5853.00,4.544,0.8680,297.004820,48.134129,15.436
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.736952453,170.3075650,0,1.2760,2.40641,8.0792e+03,0.387394,0.22080,LS+MCMC,33.46,0.0267,67.09,1395.0,891.96,505.60,1,621,1,q1_q17_dr25_tce,5805.00,4.564,0.7910,285.534610,48.285210,15.597
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0000,2.525591777,171.5955500,0,0.7010,1.65450,6.0330e+02,0.024064,1.98635,LS+MCMC,2.75,0.0374,85.41,1406.0,926.16,40.90,1,515,1,q1_q17_dr25_tce,6031.00,4.438,1.0460,288.754880,48.226200,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0000,11.094320540,171.2011600,0,0.5380,4.59450,1.5175e+03,0.036779,0.67324,LS+MCMC,3.90,0.0992,88.11,835.0,114.81,66.50,3,95,1,q1_q17_dr25_tce,6046.00,4.486,0.9720,296.286130,48.224670,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0000,4.134435120,172.9793700,0,0.7620,3.14020,6.8600e+02,0.026133,0.37377,LS+MCMC,2.77,0.0514,83.72,1160.0,427.65,40.20,3,240,2,q1_q17_dr25_tce,6046.00,4.486,0.9720,296.286130,48.224670,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.9920,2.566588970,179.5543700,0,0.7550,2.42900,2.2650e+02,0.014983,0.48909,LS+MCMC,1.59,0.0374,82.17,1360.0,807.74,15.00,3,355,3,q1_q17_dr25_tce,6046.00,4.486,0.9720,296.286130,48.224670,15.714
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,7.361789580,132.2505300,0,1.1690,5.02200,2.3370e+02,0.183387,0.00485,LS+MCMC,39.21,0.0820,60.92,1342.0,767.22,47.70,1,185,1,q1_q17_dr25_tce,6227.00,3.986,1.9580,298.864350,42.151569,12.660
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0000,16.068646740,173.6219370,0,0.0520,3.53470,4.9143e+03,0.062161,3.66590,LS+MCMC,5.76,0.1158,89.92,600.0,30.75,161.90,3,69,1,q1_q17_dr25_tce,5031.00,4.485,0.8480,286.999480,48.375790,15.841
